city,street,housenumber,type,service_type,service_name,address,lat,lon
Маріуполь,проспект Металлургов,137А,commercial,unknown,,"Маріуполь, проспект Металлургов, 137А",47.1190392,37.5644586
Маріуполь,улица Семашко,15,commercial,unknown,,"Маріуполь, улица Семашко, 15",47.1395496,37.5978372
Маріуполь,улица Таганрогская,52,commercial,unknown,,"Маріуполь, улица Таганрогская, 52",47.1280582,37.6543671
Маріуполь,улица Карла Либкнехта,185,commercial,unknown,,"Маріуполь, улица Карла Либкнехта, 185",47.1085753,37.5167782
Маріуполь,проспект Ильича,143,commercial,unknown,,"Маріуполь, проспект Ильича, 143",47.14086229999999,37.5663732
Маріуполь,проспект Нахимова,194,commercial,unknown,,"Маріуполь, проспект Нахимова, 194",47.0933814,37.5334909
Маріуполь,улица Виноградная,3,commercial,unknown,,"Маріуполь, улица Виноградная, 3",47.0945456,37.6384738
Маріуполь,улица Виноградная,17А,commercial,unknown,,"Маріуполь, улица Виноградная, 17А",47.0930287,37.64149829999999
Маріуполь,улица Виноградная,37А,commercial,unknown,,"Маріуполь, улица Виноградная, 37А",47.09569159999999,37.6326401
Маріуполь,улица Азовстальская,2,commercial,unknown,,"Маріуполь, улица Азовстальская, 2",47.1011286,37.6613936
Маріуполь,переулок Киевский,4,commercial,unknown,,"Маріуполь, переулок Киевский, 4",47.109934,37.6430668
Маріуполь,улица Бахмутская,16А,commercial,unknown,,"Маріуполь, улица Бахмутская, 16А",47.1161626,37.5499256
Маріуполь,бульвар 50 лет Октября,3/2,commercial,unknown,,"Маріуполь, бульвар 50 лет Октября, 3/2",47.1005937,37.6370337
Маріуполь,улица Николаевская,3,commercial,unknown,,"Маріуполь, улица Николаевская, 3",47.0940671,37.5622346
Маріуполь,проспект Ленина,18,commercial,unknown,,"Маріуполь, проспект Ленина, 18",47.097133,37.543367
Маріуполь,улица Энгельса,1А,commercial,unknown,,"Маріуполь, улица Энгельса, 1А",47.090678,37.5455915
Маріуполь,улица Урицкого,96А,commercial,unknown,,"Маріуполь, улица Урицкого, 96А",47.123545,37.5102741
Маріуполь,улица Азовстальская,13В,commercial,unknown,,"Маріуполь, улица Азовстальская, 13В",47.1017933,37.6301253
